时间(s),温度(摄氏度)
0.0,25.0
0.5,25.000000000000473
1.0,25.00000000814816
1.5,25.000000782280072
2.0,25.00001075749853
2.5,25.000080702970855
3.0,25.000330776557583
3.5,25.00111229909739
4.0,25.002777997283253
4.5,25.006373659613722
5.0,25.012250293236093
5.5,25.02260396181822
6.0,25.037088110429586
6.5,25.05962657738044
7.0,25.088178464117917
7.5,25.129124766364413
8.0,25.177623857778382
8.5,25.243351207182386
9.0,25.317579253553816
9.5,25.414150714555408
10.0,25.519458647607216
10.5,25.65235748062698
11.0,25.79348981115945
11.5,25.967495424017503
12.0,26.14852532532049
12.5,26.367685121749165
13.0,26.592018420919647
13.5,26.859676274844418
14.0,27.130093925221036
14.5,27.44894829529771
15.0,27.767667350141927
15.5,28.13984196366997
16.0,28.50858282810832
16.5,28.935699819186308
17.0,29.355752775906254
17.5,29.839002694028707
18.0,30.31129000893792
18.5,30.851495924523253
19.0,31.376627849256984
19.5,31.974302454951847
20.0,32.55262661401233
20.5,33.208022026341794
21.0,33.83966297925526
21.5,34.552781985367886
22.0,35.23755121464566
22.5,36.00781495447822
23.0,36.74462438277816
23.5,37.57003358094634
24.0,38.35615308009623
24.5,39.23275910021447
25.0,40.06368994503559
25.5,40.98583309822118
26.0,41.85578452473141
26.5,42.81676502871826
27.0,43.719319000994176
27.5,44.712088405079655
28.0,45.64076901957164
28.5,46.658450133835096
29.0,47.60710943195673
29.5,48.64331762358116
30.0,49.606352692569125
30.5,50.65535801715622
31.0,51.62780508514562
31.5,52.68458628022051
32.0,53.662135980808664
32.5,54.72236867049056
33.0,55.70133576708555
33.5,56.761344740395124
34.0,57.73861463681478
34.5,58.795309445746334
35.0,59.768275386442255
35.5,60.81908087867659
36.0,61.78557996977789
36.5,62.82836832480928
37.0,63.78662079801602
37.5,64.81964846903628
38.0,65.76820233182505
38.5,66.79005338887201
39.0,67.72773525968348
39.5,68.73727152804473
40.0,69.66314369710709
40.5,70.65946148203588
41.0,71.57278483880145
41.5,72.55517772518776
42.0,73.45538000679394
42.5,74.42330709619374
43.0,75.30995584770922
43.5,76.26301476859908
44.0,77.13579441011737
44.5,78.07369846420613
45.0,78.93239089920078
45.5,79.85494975972195
46.0,80.69941801419617
46.5,81.60652145547854
47.0,82.43669589734728
47.5,83.32830009976922
48.0,84.1441668466118
48.5,85.02028288260915
49.0,85.82187406039654
49.5,86.68255822329506
50.0,87.46994378762341
50.5,88.31528947488891
51.0,89.08857034930364
51.5,89.91870125531598
52.0,90.67800357867293
52.5,91.49306798969796
53.0,92.2385382966341
53.5,93.03870431285463
54.0,93.7705054988776
54.5,94.55595703576516
55.0,95.27426498179693
55.5,96.04519842637671
56.0,96.75019917735253
56.5,97.5068205946048
57.0,98.198708003434
57.5,98.9412308047066
58.0,99.62020456700142
58.5,100.34884756632991
59.0,101.01511158318922
59.5,101.73009737923502
60.0,102.3838583953733
60.5,103.08541202663255
61.0,103.72687849956375
61.5,104.41522632886299
62.0,105.04460749192744
62.5,105.71997628325636
63.0,106.3374813712314
63.5,107.00009752787423
64.0,107.60593513891229
64.5,108.25602407680762
65.0,108.85040164864871
65.5,109.4881872830836
66.0,110.0713106650226
66.5,110.6970149922736
67.0,111.26908809732923
67.5,111.88293085581047
68.0,112.4441553800371
68.5,113.04635377799042
69.0,113.59692897596705
69.5,114.18769747480951
70.0,114.72781998209982
70.5,115.30737012628913
71.0,115.83723382114395
71.5,116.40577410689149
72.0,116.92557000470656
72.5,117.48330578109746
73.0,117.99322195618022
73.5,118.5403553532966
74.0,119.04057688337329
74.5,119.5773067628857
75.0,120.06801569251358
75.5,120.5945376169349
76.0,121.07591293660268
76.5,121.59241915401259
77.0,122.06463679223053
77.5,122.57131623379314
78.0,123.0345490599102
78.5,123.53158734794025
79.0,123.9860051837904
79.5,124.47358464848558
80.0,124.91935428727389
80.5,125.39765399053718
81.0,125.83493922163298
81.5,126.30413498666334
82.0,126.73309662518514
82.5,127.19336107073148
83.0,127.61415699098937
83.5,128.0656595693415
84.0,128.47844474135644
84.5,128.9213517793
85.0,129.3262783077465
85.5,129.7607530498345
86.0,130.15797021486142
86.5,130.5841728684633
87.0,130.9738271679377
87.5,131.39191494961483
88.0,131.7741501424097
88.5,132.18427732524307
89.0,132.55923447525285
89.5,132.9615524368105
90.0,133.32936995743205
90.5,133.72402722811802
91.0,134.0848409269803
91.5,134.47198323854983
92.0,134.8259263623105
92.5,135.2056966963746
93.0,135.55289997543736
93.5,135.92543861181122
94.0,136.26603030483966
94.5,136.63147486961415
95.0,136.9655808077432
95.5,137.32406632098227
96.0,137.65180995164536
96.5,138.00346887462965
97.0,138.324971304936
97.5,138.66993358688885
98.0,138.98531362649743
98.5,139.3237067507409
99.0,139.63308095418935
99.5,139.96502998369144
100.0,140.26851269214666
100.5,140.59414031442702
101.0,140.89184369683176
101.5,141.21127026820224
102.0,141.5033043617997
102.5,141.81664795092198
103.0,142.10312070114247
103.5,142.4104971318902
104.0,142.6915144315925
104.5,142.99303732521014
105.0,143.26870305327068
105.5,143.56448386982345
106.0,143.83489992907016
106.5,144.12504800818436
107.0,144.39031436267598
107.5,144.6749369635706
108.0,144.9351516752216
108.5,145.21435401603244
109.0,145.46961328058896
109.5,145.7434985769925
110.0,145.99389675936175
110.5,146.2625662625017
111.0,146.50819593144337
111.5,146.7717489651686
112.0,147.01270092735254
112.5,147.2712349247741
113.0,147.50759825821342
113.5,147.76120879758838
114.0,147.99307088445616
114.5,148.2418517244078
115.0,148.46929828324426
115.5,148.71334139732824
116.0,148.93645651465008
116.5,149.17585212527612
117.0,149.39471828659453
117.5,149.62955489831364
118.0,149.84425301857172
118.5,150.07461745073945
119.0,150.28522690417861
119.5,150.51120432300453
120.0,150.71780297246855
120.5,150.93947692246226
121.0,151.14214114814976
121.5,151.35959358297362
122.0,151.55839831064728
122.5,151.77170962338678
123.0,151.96672835204964
123.5,152.17597740491135
124.0,152.36728223395997
124.5,152.57254638740707
125.0,152.76020804326993
125.5,152.96156318460612
126.0,153.14565104687716
126.5,153.3431716182886
127.0,153.5237537453656
127.5,153.71751277143045
128.0,153.89465592566663
128.5,154.08472504034327
129.0,154.2584947127211
129.5,154.44494418582298
130.0,154.61540462015958
130.5,154.79830338332738
131.0,154.96551760002043
131.5,155.14493327220077
132.0,155.308963091522
132.5,155.4849620039617
133.0,155.6458680689084
133.5,155.8185152896734
134.0,155.976357088385
134.5,156.14571644641308
135.0,156.3005523341613
135.5,156.466686442857
136.0,156.61857366361798
136.5,156.78154394399897
137.0,156.93053865161426
137.5,157.09040535501705
138.0,157.23656263395296
138.5,157.3933848643062
139.0,157.536758750017
139.5,157.69059448569183
140.0,157.831237984596
140.5,157.9821440998394
141.0,158.1201092089155
141.5,158.26814149487598
142.0,158.4034792208853
142.5,158.5486924062391
143.0,158.68145278458283
143.5,158.82390055576596
144.0,158.9541326689827
144.5,159.0938676900393
145.0,159.22161968595097
145.5,159.35869361800277
146.0,159.4840127275147
146.5,159.61847624786026
147.0,159.74140880242246
